REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,3,56,448,0,56
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,9,187,1206,160,27
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,56,376,6,50
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,67,525,60,7
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,68,444,21,47
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,67,352,10,57
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,1,2,60,366,20,40
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,5,9,65,434,6,59
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,48,996,8,40
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,49,317,19,40
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,48,713,22,26
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,45,405,40,5
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,4,4,47,283,10,37
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,10,55,385,35,20
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,55,1047,5,50
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,5,29,53,371,0,53
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,51,451,46,5
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,53,325,8,45
South Eastern,AF14,Khost,AF1404,Tani,22-06-2022,Earthquake,0,0,185,1417,185,0
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,1,8,153,1377,0,153
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,151,860,51,100
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,126,885,0,126
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,79,129,149,991,30,119
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,4,8,192,1344,100,92
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,2,1,207,1391,100,107
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,2,7,170,1087,70,100
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,16,158,1471,0,158
